인텔리안테크,55600,하락1900,-3.30%,120183
비올,10170,하락380,-3.60%,1249285
에스티아이,37450,상승2700,+7.77%,761057
쎄트렉아이,53900,하락700,-1.28%,110544
제우스,18750,상승640,+3.53%,564784
한글과컴퓨터,23950,하락250,-1.03%,225077
디어유,24200,하락350,-1.43%,25199
웹젠,16420,상승50,+0.31%,14202
펌텍코리아,46150,상승2650,+6.09%,310248
에스피지,25800,하락300,-1.15%,53828
엔젤로보틱스,38150,상승450,+1.19%,193357
티앤엘,70100,상승1800,+2.64%,117048
서울반도체,9600,상승60,+0.63%,54852
HLB테라퓨틱스,7050,하락170,-2.35%,261549
에코앤드림,48750,하락650,-1.32%,249209
툴젠,70300,상승2400,+3.53%,41275
케이엠더블유,13430,하락120,-0.89%,91739
아이센스,19200,하락680,-3.42%,184059
이엠텍,30550,하락1450,-4.53%,248680
지노믹트리,21000,하락850,-3.89%,470817
에이직랜드,47700,상승50,+0.10%,156824
아난티,5680,하락60,-1.05%,182201
지씨셀,31650,하락350,-1.09%,24496
필옵틱스,21850,하락150,-0.68%,386724
유티아이,30400,하락1550,-4.85%,81947
현대힘스,14130,하락190,-1.33%,99559
디아이티,25850,상승1950,+8.16%,1309901
엘앤씨바이오,21450,하락550,-2.50%,95671
네오셈,11090,상승290,+2.69%,1143845
잉글우드랩,24300,상승650,+2.75%,370947
비츠로셀,21100,하락250,-1.17%,56043
바이넥스,14980,상승1140,+8.24%,794638
컴투스,37250,하락750,-1.97%,62459
에스바이오메딕스,41500,하락1200,-2.81%,312617
강원에너지,18120,하락2880,-13.71%,1021942
오픈엣지테크놀로지,21600,하락100,-0.46%,256962
콜마비앤에이치,16010,하락190,-1.17%,43619
서부T&D,7060,하락50,-0.70%,76530
골프존,74400,하락300,-0.40%,10804
하나기술,57200,하락1800,-3.05%,65945
유바이오로직스,12730,하락10,-0.08%,144574
테스,23450,상승450,+1.96%,223736
필에너지,21700,하락600,-2.69%,103999
미래나노텍,14860,하락490,-3.19%,280787
파트론,7760,하락30,-0.39%,94481
칩스앤미디어,21800,하락700,-3.11%,251088
원익머트리얼즈,35850,상승200,+0.56%,12437
자람테크놀로지,72800,상승1700,+2.39%,48050
지아이이노베이션,10160,하락90,-0.88%,172488
에코마케팅,13990,상승480,+3.55%,103582
네오위즈,20350,상승50,+0.25%,62854
LS마린솔루션,17230,하락670,-3.74%,404521
마녀공장,27150,상승600,+2.26%,1558358
셀바스AI,16380,하락70,-0.43%,91433
이엔에프테크놀로지,30850,하락400,-1.28%,49059
코아스템켐온,13400,하락360,-2.62%,139146
켐트로닉스,28450,보합0,0.00%,119523
다우데이타,11390,상승10,+0.09%,21809
다원시스,11400,하락200,-1.72%,140071
AP시스템,28450,상승400,+1.43%,194681
동국산업,8010,하락90,-1.11%,369615
바이오다인,14550,하락1590,-9.85%,808587
GST,46450,상승1200,+2.65%,169367
큐렉소,10480,하락140,-1.32%,144207
탑머티리얼,53300,하락1000,-1.84%,24529
브이엠,17850,상승920,+5.43%,797862
샘씨엔에스,7360,상승30,+0.41%,930432
큐로셀,30150,하락50,-0.17%,57179
이오플로우,13650,상한가3150,+30.00%,5913336
아미코젠,7540,하락150,-1.95%,916732
젬백스,10270,하락170,-1.63%,83080
예스티,19980,하락970,-4.63%,181472
한양디지텍,26650,상승650,+2.50%,378938
한국기업평가,89300,하락100,-0.11%,1491
휴메딕스,35900,하락150,-0.42%,47111
RFHIC,15100,하락150,-0.98%,79004
바텍,26900,하락200,-0.74%,12149
에이디테크놀로지,29600,하락550,-1.82%,156646
월덱스,23850,상승250,+1.06%,151891
아주IB투자,3265,하락75,-2.25%,427259
인탑스,22900,상승50,+0.22%,48528
큐리옥스바이오시스템즈,49050,상승350,+0.72%,86149
NHN KCP,9730,하락20,-0.21%,66515
하이비젼시스템,26100,상승600,+2.35%,287098
KG에코솔루션,7830,상승20,+0.26%,98628
바디텍메드,16510,하락410,-2.42%,60668
휴온스,32350,하락250,-0.77%,18564
신라젠,3765,상승15,+0.40%,607645
상아프론테크,23900,하락300,-1.24%,80692
네패스,16530,하락310,-1.84%,92923
폴라리스오피스,7620,하락80,-1.04%,632758
세경하이테크,10580,상승280,+2.72%,905169
한양이엔지,20950,상승900,+4.49%,108689
한국비엔씨,5520,하락260,-4.50%,693186
하림,3515,하락70,-1.95%,6113257
감성코퍼레이션,4100,하락80,-1.91%,628847
한솔아이원스,12750,상승210,+1.67%,176222
덕산하이메탈,8100,상승100,+1.25%,590282
태웅,18360,상승230,+1.27%,52002
박셀바이오,15970,하락280,-1.72%,135186
티에프이,31950,상승350,+1.11%,23481
케이아이엔엑스,74500,하락2300,-2.99%,15905
동성화인텍,12040,상승10,+0.08%,36979
동운아나텍,18990,하락50,-0.26%,78044
토비스,22250,상승650,+3.01%,146473
인바디,26100,하락350,-1.32%,12491
우진엔텍,38350,상승700,+1.86%,220579
제이브이엠,29400,상승50,+0.17%,37148
티이엠씨,16670,하락330,-1.94%,138206
인터플렉스,15150,상승120,+0.80%,178476
현대무벡스,3000,하락20,-0.66%,129082
프로텍,31900,하락600,-1.85%,34546
신흥에스이씨,8990,하락80,-0.88%,67915
뷰노,25400,하락850,-3.24%,175308
우리기술,2220,하락10,-0.45%,8667612
매일유업,44200,하락900,-2.00%,9562
코엔텍,6900,보합0,0.00%,82185
지오릿에너지,2320,상승25,+1.09%,945688
하이록코리아,26550,상승50,+0.19%,10858
슈어소프트테크,6450,상승350,+5.74%,6337701
에스에이엠티,3390,상승80,+2.42%,251704
삼표시멘트,3140,상승20,+0.64%,581935
에스피소프트,15980,하락940,-5.56%,547794
젬백스링크,2930,보합0,0.00%,358061
그리드위즈,42500,보합0,0.00%,2790906
파인엠텍,9110,하락10,-0.11%,450551
신성에스티,37150,하락1050,-2.75%,74109
모트렉스,13420,상승210,+1.59%,407015
쏠리드,5440,하락40,-0.73%,235766
인선이엔티,7150,상승10,+0.14%,37738
미래에셋벤처투자,6220,하락10,-0.16%,114569
네패스아크,27100,상승100,+0.37%,53092
인터로조,24900,보합0,0.00%,0
유니셈,10720,상승190,+1.80%,412513
뉴로메카,31000,하락400,-1.27%,36155
비즈니스온,14470,상승230,+1.62%,69347
KH바텍,13710,하락140,-1.01%,79639
HB테크놀러지,3480,상승85,+2.50%,10130172
비에이치아이,10400,하락10,-0.10%,691557
텔레칩스,21100,보합0,0.00%,74381
톱텍,8370,상승200,+2.45%,186076
한국정보통신,8490,하락130,-1.51%,7898
아나패스,25850,하락100,-0.39%,37671
태광,11770,하락120,-1.01%,133712
퓨쳐켐,14100,상승300,+2.17%,322847
KG이니시스,11150,하락20,-0.18%,33278
에이프릴바이오,14290,상승190,+1.35%,82731
태성,11990,상승120,+1.01%,887638
서희건설,1344,상승4,+0.30%,63831
성광벤드,10760,상승30,+0.28%,89199
위메이드맥스,9230,하락340,-3.55%,52311
디앤씨미디어,24450,상승50,+0.20%,107297
아바코,20500,상승150,+0.74%,82639
디오,19230,하락120,-0.62%,14541
로보티즈,23400,하락250,-1.06%,44580
유니테스트,14410,상승70,+0.49%,172427
석경에이티,55400,하락300,-0.54%,6942
코미팜,4280,상승10,+0.23%,46001
휴온스글로벌,23800,하락250,-1.04%,37822
광무,6160,하락480,-7.23%,2536696
삼현,28250,상승450,+1.62%,133135
JTC,5770,하락140,-2.37%,92565
바이오플러스,5130,하락90,-1.72%,359604
에이스침대,26750,하락50,-0.19%,1036
비나텍,48700,하락700,-1.42%,22677
코세스,17860,상승10,+0.06%,128608
모두투어,15670,하락90,-0.57%,18287
뷰웍스,29600,하락250,-0.84%,3944
CMG제약,2130,하락5,-0.23%,166381
에스티큐브,6320,하락100,-1.56%,74317
위지윅스튜디오,1719,하락24,-1.38%,1031628
인카금융서비스,5720,상승10,+0.18%,71611
엘오티베큠,16470,보합0,0.00%,54272
인텍플러스,22800,하락350,-1.51%,61446
피에이치에이,13960,상승290,+2.12%,90650
유진로봇,7760,하락100,-1.27%,79164
제일엠앤에스,14130,상승210,+1.51%,75956
디앤디파마텍,27750,하락300,-1.07%,22570
제테마,16200,하락440,-2.64%,17805
나노팀,14620,상승20,+0.14%,102529
뉴파워프라즈마,6570,상승10,+0.15%,82000
대명에너지,16790,하락200,-1.18%,23487
삼목에스폼,19150,하락80,-0.42%,8453
로보스타,28800,하락100,-0.35%,24536
LB세미콘,6400,하락20,-0.31%,67643
엠아이텍,8630,상승370,+4.48%,336956
이베스트투자증권,4980,상승5,+0.10%,54679
